Cell_ID,Centroid_X,Centroid_Y
36e3ccc2-b40f-47b6-b33d-91beb99ccf32,-888.4969685000001,-727.0392155559999
be9be10d-fc85-4ed6-b38f-d7b66243c3ba,-883.2731334999999,-749.327083156
18c0e8b6-88e6-462f-a296-74b0886e4eb9,-883.8970595000001,-843.1767206559999
3442ec67-04a4-495b-830a-3ef37add430c,-875.7911735000002,-703.641411556
42746348-5993-44ac-9315-0f4c832abb78,-872.9893935,-795.364711256
48621f12-561e-4115-8bc9-37545b086938,-872.7205435000001,-824.126575656
9797564e-b5b4-43da-b241-005085c06593,-866.5444004999999,-707.8855510559999
2d9471c7-478f-4549-8872-f85295ae5b44,-850.8400044999998,-886.8510623559999
61ec6a94-c7e4-4693-bf56-e1bdff10eaea,-844.8304335000003,-887.610286856
ea933f19-af6c-4f56-ae3d-e0bad21c4d1d,-844.7607535000002,-751.498657156
8b27443c-09a5-4afb-87a5-a5e3df4cbe6f,-835.6733985000001,-853.823220956
ab791217-32e0-4a36-8677-37cdd8f82ccb,-828.7732485000001,-774.553713356
7be0bd10-4d29-429b-9cf8-5716e6fb16e8,-812.0658295000003,-728.142801956
be6a5dac-8ef8-4a6b-8352-63ab7225f8ba,-809.3373165000003,-768.0655727559999
5fa859a4-5296-4aeb-9366-c75f7ae04356,-808.6140614999999,-754.333557756
e342aa32-f2f4-465e-955f-db7db1f9bc1d,-806.7697865,-776.340876056
9dce5024-84a1-4424-b7eb-50b957a9731c,-788.0991975000002,-764.917350556
fb61ff6a-c93e-4338-bfc6-ce96529c5641,-788.4352994999999,-821.800965756
f0c4b937-cc77-449a-8ff6-9e511f08fdb8,-786.2942605000003,-747.733330856
826f4f44-8fa5-46f5-b3f0-70c8e60edcc6,-782.0359125,-787.364010156
915eb699-f386-4615-9270-b48f18096fde,-779.1315835,-735.716884556
9fbc73c1-cbfe-41c2-8fc2-dd69b91ccb98,-777.3847515000002,-872.097459956
89c37698-02a7-4ec8-91ed-c94a85918f0e,-761.5556624999999,-830.264004756
66226b72-a1a1-4fed-8820-1e218554c6ce,-759.0957425000001,-706.6573599559999
f1f552a0-b87a-4623-ba45-4893ee057736,-751.1011865,-870.938205356
a67b9b23-3a62-4fd5-8171-bf49e3c2a7db,-750.0774375000001,-709.637503856
a55977e1-84eb-4eee-8393-929ea4e99cdc,-748.2845525000002,-782.958994856
2809288e-6d91-46fd-b179-59d4f9f7566c,-745.0103385000002,-748.563618356
760c93e4-3e59-4e7b-8a8b-a72ca4cc8852,-741.4093525000003,-711.855084456
52768e6e-f89c-4c55-86de-053b60cf327d,-733.1456994999999,-826.075604656
ad30be68-80bd-406a-9d42-e4e7ad90dce2,-840.6173905,-780.891727956
a5645540-3ba0-4e4e-ac50-306589a5e10d,-793.8830225000002,-834.378396156
d79927a6-67a7-460a-9c2c-31ed36e40f67,-789.1389425000002,-786.3403784559999
160bab2f-e56a-4426-9526-aaa142c82baf,-780.9594565000002,-724.750230056
0ea776cd-b0c0-4279-8c15-f3c1f91cd07a,-759.5368735000002,-789.088952756
dcb97005-0a7b-417c-b269-e72ed4d2e2d6,-718.4522594999999,-713.944514856
02bd6d14-405b-45d9-b748-d3a65bb9091c,-870.6083214999999,-843.381279656
2561885c-f601-4049-824a-878f027b228c,-845.4348275000002,-725.110445656
d57e1709-4a8f-4af8-84d9-0325e6721f94,-826.6043395000002,-707.9961139559999
e4442446-6d8c-4115-ada8-a9d891f5d9ac,-824.7248705000002,-735.140606256
c7d5db7b-798b-462d-9024-9f3a8d3ba581,-895.9299584999999,-573.858872056
8e48b94d-d690-4270-97a7-5e665b46fcb9,-891.8778995000002,-556.1105471559999
7b126127-1690-490c-8f68-1d859e7e7da3,-889.0045085000002,-677.914136356
57cfb205-c088-4772-b3cd-23ec33ede407,-887.4448075,-653.710466756
8fd70440-5a68-404b-83ef-aa6cdc4f40b3,-874.3151634999999,-674.568808556
eb84c6af-d14b-477f-a1c8-215aeb4d58b3,-865.9715615,-575.694514456
001ccdde-c460-4146-8c5d-cf237840df86,-865.3155704999999,-561.706585156
e8c4e632-7e10-4293-97ce-c84ca3b053fc,-849.1084584999999,-636.631881156
7dc68f8c-a2be-4b80-9442-c9a03212d093,-844.3046515000001,-627.596106656
f20e2b30-dfd6-4547-a5a3-547b2da53841,-824.2707184999999,-581.022852756
b2eb443d-bfcd-431c-9574-8a401112dcb8,-815.7111565,-552.458140356
f64e5f70-6505-4cf1-a682-80f16fa78f8d,-801.0306315000003,-536.102745556
fe86ea59-8b4f-4572-965f-79428cc88d3a,-802.9699045000002,-588.792905056
9006fbf5-b223-44b9-9d6c-279c2730203f,-789.3853825000001,-607.7124481559999
71fe5ea4-6554-4c89-a210-8a882701cafe,-783.3130675000002,-518.789076356
24500ac7-a143-4143-a818-ed798393a20c,-783.3435325,-625.197134756
ebda05c6-52f4-4702-8dd9-4bd0a9b010cc,-781.9322305000001,-675.443083656
3de4edbd-71e6-459c-b9b2-b462ec9a2239,-782.3974965000002,-691.961093256
e4acce4d-538b-45ea-b784-4e0e294049f7,-777.9872285000001,-588.254857656
94bcf836-7984-4d0b-a5d5-c2325e2ccabf,-769.9028345000002,-634.5508464559999
6d38deeb-2aec-4579-81d1-1398a29bcf2e,-757.0859925,-529.820345256
95889415-2e30-4c75-92d4-2912a2a80555,-749.2172875000001,-584.807531056
534db67b-ba2a-4c4b-a81f-c960a704f67d,-750.0373265000003,-661.5868396559999
bcb04ed2-bdb4-4e14-b3a2-b6721b07d5c7,-744.7496635000002,-641.825605256
91e47761-e18d-4e8d-b253-d4d8aa4339fe,-740.8984285000001,-669.502480756
f37d646d-5bc9-4b55-a8de-4625d135712d,-736.0543845000002,-560.592675956
fbeff120-0cd9-45fd-a11a-9e4fb9b4a4f1,-739.7646945000001,-680.615612056
71ed0872-e647-418e-b5bf-e069cada9f11,-730.3831125000002,-558.597738756
187f5bbd-6aa2-4da8-9311-0bde7b309582,-715.4446765000002,-569.193447956
46371151-8a71-4309-8175-fafe09159dd6,-871.0632544999999,-515.046174156
8ddc9326-8c5d-4cd3-b75d-8e1d1924b2da,-823.7652585000001,-529.183316756
b8041a0b-14f1-4c6c-8b4f-c9a5c4ef9306,-803.0437835000002,-576.950941256
5f76bf1c-a93c-4737-9a5c-10790551e026,-772.5182565,-614.677322256
d8a089e4-1318-4a43-ab32-b0ed873945e4,-773.9182415,-533.239373456
68e68255-8614-48af-9067-29a614c1055d,-717.3487605,-638.157650256
69952d7c-1c86-47a3-bd30-a52bb3345087,-818.6140995000001,-604.551183156
5a739322-6a2f-4848-a8e1-bc4554bf1aa3,-814.1103725000003,-662.233136156
b4339eae-8259-4b1c-827a-6f0635d560fc,-806.4553154999999,-610.834608256
28977163-9351-44ad-bf85-bbf8e7812b61,-731.6509095000001,-617.775468456
5c0faf18-35d1-4569-bcec-c23b192c58a7,-896.3648324999999,-675.6157294559999
df0ce85d-d9f4-4b2b-b917-d49db006e2fa,-743.4607234999999,-666.947728756
09734751-cbba-4c6e-b2be-c52d9c61372a,-737.8240805,-539.866185556
5790ba00-ae4e-424c-b184-4abdf0424800,-897.1188784999999,-427.505603356
