Cell_ID,Centroid_X,Centroid_Y
ef2ebedc-7e4b-4fb1-becd-98d7e97ec0af,-876.0517869999999,-971.5850053
29ce2427-88db-448c-849e-1e7ea3f09d3c,-873.1618219999996,-858.5285723
7a8e91f9-dfda-40f5-aabb-179b507e630b,-873.5328449999997,-814.6800435
11dc9f6e-6fcd-4fc8-98f6-a993dbcf5ae4,-865.7409169999996,-950.8953991
9ba264c1-4a92-43fe-99b0-78f7d6cc330e,-867.480274,-807.5732018
7aeab57e-f0cd-40f7-9a37-47aa3552986e,-865.102844,-827.831519
a30bc73d-fa7a-4e99-8138-aeafa1d03126,-863.7275249999998,-792.1533072
f58433ff-0d28-46ef-9afc-9d7c3417d3d2,-858.2437869999999,-949.9877996
9c64fa61-52d5-45dc-8b91-6d46da4fd1b4,-858.2950059999998,-862.998893
0c6c3724-4627-4a9e-b306-848606d5be5d,-855.7379999999998,-843.711025
c5843e53-dc91-4d53-ac16-e604ca134c0c,-851.6255099999998,-815.4122009
300d35e9-8652-46a4-9295-3030091bd91d,-853.1101919999996,-932.7305337
8ccac328-e08a-4672-8d8d-c534d605ccaf,-852.7847109999998,-794.1782273
4275ef7f-cef7-4cbc-9c30-0e2d6230fde0,-848.3291939999999,-886.1838124999999
ca0d6cd7-1c7c-482c-9f34-4759558a4fad,-848.3382189999998,-909.0100847
79b46eb2-a2b7-4821-8048-f782ec989415,-840.4794279999996,-849.4167871999999
1c80baf5-6587-4084-aa55-84166a172e09,-837.2472459999999,-798.9216609
6fcd5695-a8fe-4ef6-bb5f-f98ce7510f06,-839.4855689999999,-952.1452974
3fe39577-d5d6-48e5-9b54-c6f6603574cd,-839.9368549999999,-867.9946345
f9bdb2f5-79fd-4908-9489-369f124e21f5,-836.2547029999996,-928.6457720999999
b55207b8-868f-43af-872d-36ceb5f34569,-831.4181669999998,-921.7914711999999
1347a9ad-adc6-4e35-b86b-e2bf6f2ff39b,-826.7955429999997,-913.5587823999999
573bed77-8e0b-45cb-827b-87b445714420,-823.3904339999999,-841.2676187
f9671255-e547-4111-8c47-c9fd9a7b1cdd,-822.3963589999998,-869.4211473
5f39a28c-efc4-4893-a504-d712dfb8ad6e,-821.0315009999999,-808.6787038
0e19e691-a06c-4134-abd4-ba821b646f9a,-818.85511,-964.0728647
a4070588-e363-4941-a067-8f5abdcd81b1,-808.3326309999998,-899.9555568
2e14b337-447d-4f4e-9ac3-fe2663c68f44,-806.1657479999999,-878.7968246
28e835fa-f271-4b0d-8249-bf644c0f48fe,-804.2971709999997,-932.8244821
c3077faa-fe63-4c32-a5d2-f9917d10f633,-800.8884739999999,-840.4720231
7ddee7bf-f006-4af8-98f8-c7b003adcb0d,-798.1707879999999,-938.063618
264fe3dd-b449-41a6-8980-a77c0656f765,-794.9240439999999,-922.9370471999999
be39f347-2b5a-4824-a2b4-6068c1943286,-795.1336649999998,-822.7300015
8003b2f2-4409-4f9a-bf65-970cedd57a9c,-797.4437129999997,-805.5122997
d24826c9-92fc-4c31-90bb-110f945312a3,-789.7037659999996,-854.3922146
3c2b4a52-bc80-4dc5-9fee-ce7f6ceba289,-784.5105559999997,-802.1732662
8fb507c0-d7c3-47c2-8bf5-e048f6b03a9b,-781.457179,-881.0205209
2324182e-a938-4457-8775-c8fbc5b3ec71,-782.5129579999998,-898.5101374999999
a31ea951-28de-4339-9ab6-1cb9f1d05718,-779.3842299999997,-966.011354
78c0d70c-f3c7-4079-b05a-0b328d76231c,-775.8587769999999,-858.7203019
ee7b1f15-a576-4718-affe-c55dbacbe776,-773.2725549999996,-951.8729125
6753e1cb-ede3-4292-9051-b4245105ef55,-773.9005349999998,-929.6726557
eaed5881-4b0e-4b2a-b1d6-6a0e3d1bede9,-772.8795649999997,-814.1132623
bfd6f927-399c-4a8b-9ffb-514328c27d60,-772.669007,-969.1897607
287811ba-5423-4633-9eb6-df5922673bd8,-766.9842049999997,-857.1573594
e32be4f6-744a-4082-93fa-e21bb09a3d47,-765.8778239999997,-942.2497615
437e4c5f-c6a8-414c-b94f-92a8bba6263e,-763.7802629999996,-906.510621
42390b36-45d7-4a96-8fc2-82f2347656cd,-764.4356489999996,-888.6072412999999
b4691d72-66c9-46de-afd1-015917ff1b7f,-764.7389509999998,-878.7458220999999
5521e101-439f-4acd-be9f-6283f6a9df54,-758.6591829999998,-799.5771852
01ade9dd-0ec5-4aa6-a0b0-1a1413418d60,-758.5346829999999,-972.3451566
cdb2a8dd-16ec-4cac-a223-1ed00e036333,-754.5285199999998,-917.3852517
5f02d772-e6be-4047-af4e-c2c7e87d6608,-755.1260459999999,-899.4830168
01367af5-c27b-4a55-afc1-21a1c3f26a79,-754.9694589999999,-875.9984269
87ea2e22-88c2-4560-8e60-4c9909cf1ccf,-749.7583459999996,-961.0195677
57cfb147-945f-4314-8759-3fefcbc2283b,-747.3059139999996,-931.6016195
8d269c10-7571-42e1-8a5c-2915c57ea805,-749.6316229999998,-971.0887058
d1ed7494-e960-41ed-bbdb-5426a33c47a3,-741.7556869999999,-875.4771777
bd8ebcb5-6e00-42c5-9081-8b3b5a97457a,-742.1918659999997,-832.8202838
c1475fcd-9d03-4daf-896a-e72841b5075b,-742.3262569999997,-920.7831095
6fef48bc-6308-44c9-af2c-9204d019d71a,-740.4740149999998,-806.0723313999999
5d4ce73a-f435-471f-ab51-4c6742bdcbc3,-738.4115439999996,-895.4993804
