Cell_ID,Centroid_X,Centroid_Y
4ec0fe04-ca4d-4884-8bb5-352150a62df0,-911.4560379999998,-849.37093391
13b8ca66-c045-4bce-9780-d5451d3157d2,-911.2346309999998,-785.7891891099999
3d7452c0-14c5-4683-9d97-0afa490f718c,-891.9019739999999,-824.76266031
bb8cd49a-e0ac-4107-97b9-d49a34ec7dd8,-881.9532159999999,-795.91289961
5ab3bafd-20b2-435d-a951-2b3a8cdc6ef4,-850.3134609999997,-806.8518685099999
9b549a2e-374b-4af4-be41-ae3900a5df9e,-843.4767359999996,-862.06471791
34525746-88ca-412d-949b-c2b13bc5ce3f,-827.0482309999998,-822.07866871
c0768a05-480f-49bc-a161-aaa180ea0803,-810.6837589999996,-888.0070818099999
c7253169-35f6-428d-8744-53396a6c2ff9,-805.7227849999999,-837.52496591
71019ccc-e4fb-44db-80c3-bf4185300ca5,-807.6101009999998,-778.88381281
7bcffb27-ff51-4e92-9e01-d7def6971087,-801.5174359999996,-808.59247561
08a441e6-5b80-4b37-a587-4253d61fbffb,-792.7810399999998,-842.57029741
b446de19-c1cb-4fa0-8e2c-69cc5bc8c326,-792.909369,-862.66027631
56e96d01-89b9-413c-8335-0ca567ce9162,-779.3546739999997,-853.17628541
2b76bbac-b2ff-4b99-87ad-9dca9317cfe5,-764.1813899999997,-857.5243698099999
2e9f46a9-8368-46f2-80b5-61182f76f8ca,-752.4848599999996,-837.8339187099999
4cb83df1-8a34-44e4-9db0-c758a9ad582b,-748.8446179999996,-856.6262195099999
f79a64c5-b280-4f8a-8e56-d308273f90cb,-748.4322439999996,-843.89208571
6789e39b-64b7-4c11-b72a-6bb2a810476b,-744.6043809999996,-788.42978591
ccbf8fd6-b8a1-4b43-b852-72b7e65ba6bb,-733.2751709999998,-898.03816981
1f223e56-9512-4a74-9017-f3e9688d3a31,-908.0579629999997,-860.84783771
d8f2175b-68a5-4ddd-9db2-96f7e12b19af,-860.0498469999998,-809.6854779099999
eeeec687-b692-4629-91e8-4345ab2446bd,-773.3277579999999,-887.63599101
97cf4775-f682-4aac-b0f3-82fcd07c15b5,-769.2179119999996,-820.8806100099999
a9a930b8-3541-4f29-b04e-b4888743b8ba,-736.08412,-883.60042041
3b1d5b4c-dc53-4425-8669-d23b86340490,-817.817231,-865.06757681
c63de443-4c08-4d2b-8048-9ce5bc430a4e,-881.4259629999997,-787.00461831
109c3f6b-33d5-405a-8934-fc773cd0e118,-898.0009909999999,-833.8248554099999
59168a5f-faab-4048-b615-6b310f78b792,-879.283293,-856.1881114099999
ebb9706c-5dde-4ec0-9867-88badd46a9bf,-866.6415079999997,-844.71811021
3757d884-065c-4143-a224-4af13baec13e,-840.5038,-818.05104251
6c11d2a9-66dc-48a3-8c5a-e26df42b398d,-811.7084869999999,-846.22255921
7f499c88-03e2-4d8b-a055-71fc517a8f14,-804.2689169999999,-822.77001731
5623d4f0-8433-456e-856f-55c2060708ea,-798.9928409999998,-885.63440481
c8f106de-bee6-40aa-be78-be31762f5e7f,-785.565744,-859.9002940099999
56c35b3c-af2d-425a-a508-28a95da29b8e,-781.6799759999999,-818.54377231
c0dbff2f-540b-4f81-80a2-358d03ecaad6,-782.6427129999997,-787.90302771
fb9ac278-adf9-4d8d-9e94-1c03538d47f0,-760.6077209999999,-862.69266651
86a9df38-4515-4f61-b006-f545649d7bc9,-760.6619329999999,-786.17809961
f503d05d-ca9c-445a-b47d-72b41506d738,-753.6679879999997,-883.0960757099999
97dca49a-70d8-4ae2-8e85-800e424aa73c,-917.3601719999997,-688.64613801
